Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,27,25.2,52.7,36,396,3240,36.0,55,37,51,4,7,64,4,1.53,1.03,2.56,1.42,2.44,56.3,51.1,35.0,86.1,1.56,0.97,2.54,1.42,2.39
Aston Villa,30,26.9,46.3,36,396,3240,36.0,47,39,44,3,3,79,2,1.31,1.08,2.39,1.22,2.31,42.4,40.2,32.3,72.5,1.18,0.90,2.07,1.12,2.01
Brentford,29,26.2,44.4,37,407,3330,37.0,45,32,39,6,6,61,2,1.22,0.86,2.08,1.05,1.92,46.7,42.1,31.9,74.0,1.26,0.86,2.12,1.14,2.00
Brighton,26,27.0,54.9,37,407,3330,37.0,37,27,33,4,7,71,2,1.00,0.73,1.73,0.89,1.62,44.3,39.0,27.6,66.6,1.20,0.75,1.94,1.05,1.80
Burnley,23,29.3,39.8,36,396,3240,36.0,30,26,30,0,1,66,1,0.83,0.72,1.56,0.83,1.56,35.9,35.1,25.8,60.9,1.00,0.72,1.71,0.98,1.69
Chelsea,25,28.1,61.9,36,396,3240,36.0,72,49,64,8,9,59,1,2.00,1.36,3.36,1.78,3.14,63.2,56.7,43.3,100.0,1.76,1.20,2.96,1.57,2.78
Crystal Palace,24,27.9,51.1,36,396,3240,36.0,47,30,41,6,8,64,1,1.31,0.83,2.14,1.14,1.97,44.6,38.5,28.9,67.4,1.24,0.80,2.04,1.07,1.87
Everton,32,27.5,40.0,36,396,3240,36.0,38,26,32,6,7,79,6,1.06,0.72,1.78,0.89,1.61,40.9,35.7,25.5,61.1,1.14,0.71,1.84,0.99,1.70
Leeds,29,26.9,52.5,37,407,3330,37.0,40,26,36,4,4,100,3,1.08,0.70,1.78,0.97,1.68,45.8,42.8,30.6,73.3,1.24,0.83,2.06,1.16,1.98
Leicester,28,27.2,52.7,36,396,3240,36.0,57,43,55,2,2,54,1,1.58,1.19,2.78,1.53,2.72,48.5,47.0,32.5,79.4,1.35,0.90,2.25,1.30,2.21
Liverpool,27,28.6,63.1,36,396,3240,36.0,89,67,82,7,8,49,1,2.47,1.86,4.33,2.28,4.14,84.6,78.8,56.5,135.3,2.35,1.57,3.92,2.19,3.76
Man City,26,27.8,68.4,37,407,3330,37.0,93,60,86,7,9,42,1,2.51,1.62,4.14,2.32,3.95,86.1,79.1,57.3,136.4,2.33,1.55,3.88,2.14,3.69
Man Utd,28,28.1,52.7,37,407,3330,37.0,56,46,53,3,5,73,2,1.51,1.24,2.76,1.43,2.68,53.9,50.1,40.0,90.1,1.46,1.08,2.54,1.35,2.43
Newcastle Utd,29,28.3,39.4,36,396,3240,36.0,38,22,36,2,2,81,2,1.06,0.61,1.67,1.00,1.61,36.5,35.0,23.4,58.5,1.01,0.65,1.66,0.97,1.62
Norwich,28,27.0,42.6,37,407,3330,37.0,21,16,18,3,3,54,1,0.57,0.43,1.00,0.49,0.92,33.0,30.7,22.5,53.1,0.89,0.61,1.50,0.83,1.44
Southampton,25,26.5,48.4,36,396,3240,36.0,39,25,36,3,3,62,2,1.08,0.69,1.78,1.00,1.69,45.6,43.3,32.1,75.4,1.27,0.89,2.16,1.20,2.09
Spurs,25,27.3,51.8,37,407,3330,37.0,58,46,53,5,5,68,1,1.57,1.24,2.81,1.43,2.68,61.5,57.8,46.2,104.0,1.66,1.25,2.91,1.56,2.81
Watford,30,29.2,40.7,37,407,3330,37.0,32,25,31,1,2,63,3,0.86,0.68,1.54,0.84,1.51,37.8,36.3,27.7,64.0,1.02,0.75,1.77,0.98,1.73
West Ham,25,28.9,47.8,37,407,3330,37.0,57,46,53,4,6,51,3,1.54,1.24,2.78,1.43,2.68,49.8,45.9,35.6,81.5,1.35,0.96,2.31,1.24,2.20
Wolves,26,28.1,49.9,37,407,3330,37.0,34,21,33,1,1,62,2,0.92,0.57,1.49,0.89,1.46,34.8,34.3,23.7,58.0,0.94,0.64,1.58,0.93,1.57
